bar,beer,date,startquantity,endquantity
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-11,127,113
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-13,183,169
"Atomic Liquors","Nut Brown",2018-10-17,230,218
"Nimble Stream Pub","Welsh Pride",2018-10-21,256,246
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-12,157,144
"Deep Glass Bar","Orca Porter",2018-10-09,250,238
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-14,169,159
"Scared Crossbow Tavern","Caldera IPA",2018-10-21,156,143
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-11,149,135
"Clever Child","Cauldron Brew",2018-10-15,234,223
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-15,206,194
"Rusty Sailor Outpost","Caldera Pilsener Bier",2018-10-17,233,218
"Jaded Pants Pub","Blue Whale Ale",2018-10-11,172,158
"Deep Glass Bar","Orca Porter",2018-10-10,238,227
"Dramatic Crabs","Southside Strong",2018-10-17,131,116
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-12,182,171
"Sore Head","Amstel Bright",2018-10-15,228,214
"Loud Elderberry Bar","Schinderhannes Bock",2018-10-19,245,235
"Crooked Sailor Ale House","Caldera Ginger Beer",2018-10-19,175,165
"Atomic Liquors","Nut Brown",2018-10-18,257,245
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-09,200,185
"Jaded Pants Pub","Blue Whale Ale",2018-10-12,209,195
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-13,243,232
"Gifted Zebra Tavern","Dry Hop Red",2018-10-15,232,222
"Scared Crossbow Tavern","Caldera IPA",2018-10-22,143,133
"Spirited Brew Saloon","Cauldron DIPA",2018-10-19,182,168
"Blue City","The Captain's Porter",2018-10-21,180,169
"Regular Drum Tavern","Deviator Doppelbock",2018-10-13,146,133
"Nimble Stream Pub","Welsh Pride",2018-10-22,246,234
