bar,day,start,end,date
"Absent Snow",Monday,12:00,23:45,2018-10-15
"Absent Snow",Tuesday,09:00,22:00,2018-10-09
"Absent Snow",Wednesday,12:00,22:15,2018-10-10
"Absent Snow",Thursday,12:00,23:00,2018-10-11
"Absent Snow",Friday,12:00,23:15,2018-10-12
"Absent Snow",Sunday,12:00,22:15,2018-10-14
"Absent Snow",Saturday,10:00,22:15,2018-10-13
"Admiral Benbow Inn",Monday,10:00,22:30,2018-10-15
"Admiral Benbow Inn",Tuesday,11:00,23:00,2018-10-09
"Admiral Benbow Inn",Wednesday,09:00,22:15,2018-10-10
"Admiral Benbow Inn",Thursday,08:00,22:15,2018-10-11
"Admiral Benbow Inn",Friday,12:00,22:15,2018-10-12
"Admiral Benbow Inn",Sunday,10:00,23:00,2018-10-14
"Admiral Benbow Inn",Saturday,09:00,22:00,2018-10-13
"Amused Lemon Parlor",Monday,12:00,23:45,2018-10-15
"Amused Lemon Parlor",Tuesday,08:00,23:15,2018-10-09
"Amused Lemon Parlor",Wednesday,08:00,22:15,2018-10-10
"Amused Lemon Parlor",Thursday,08:00,22:15,2018-10-11
"Amused Lemon Parlor",Friday,10:00,23:00,2018-10-12
"Amused Lemon Parlor",Sunday,09:00,23:30,2018-10-14
"Amused Lemon Parlor",Saturday,12:00,22:00,2018-10-13
Anchor,Monday,08:00,22:00,2018-10-15
Anchor,Tuesday,12:00,23:00,2018-10-09
Anchor,Wednesday,11:00,22:45,2018-10-10
Anchor,Thursday,10:00,22:30,2018-10-11
Anchor,Friday,09:00,23:45,2018-10-12
Anchor,Sunday,10:00,22:45,2018-10-14
Anchor,Saturday,11:00,22:15,2018-10-13
"Armed Pudding Bar",Monday,11:00,23:15,2018-10-15
"Armed Pudding Bar",Tuesday,10:00,23:15,2018-10-09
"Armed Pudding Bar",Wednesday,08:00,22:45,2018-10-10
"Armed Pudding Bar",Thursday,10:00,23:45,2018-10-11
"Armed Pudding Bar",Friday,10:00,23:45,2018-10-12
"Armed Pudding Bar",Sunday,10:00,23:00,2018-10-14
"Armed Pudding Bar",Saturday,11:00,22:15,2018-10-13
"Assorted Dandelion Bar",Monday,09:00,22:45,2018-10-15
"Assorted Dandelion Bar",Tuesday,11:00,23:15,2018-10-09
"Assorted Dandelion Bar",Wednesday,08:00,22:45,2018-10-10
"Assorted Dandelion Bar",Thursday,11:00,23:15,2018-10-11
"Assorted Dandelion Bar",Friday,11:00,23:15,2018-10-12
"Assorted Dandelion Bar",Sunday,10:00,23:45,2018-10-14
"Assorted Dandelion Bar",Saturday,08:00,22:30,2018-10-13
"Atomic Liquors",Monday,10:00,23:00,2018-10-15
"Atomic Liquors",Tuesday,12:00,23:00,2018-10-09
"Atomic Liquors",Wednesday,09:00,22:45,2018-10-10
"Atomic Liquors",Thursday,09:00,22:15,2018-10-11
"Atomic Liquors",Friday,08:00,22:15,2018-10-12
"Atomic Liquors",Sunday,08:00,23:45,2018-10-14
"Atomic Liquors",Saturday,10:00,23:45,2018-10-13
"Awful Salmon Bar",Monday,12:00,22:15,2018-10-15
"Awful Salmon Bar",Tuesday,11:00,22:00,2018-10-09
"Awful Salmon Bar",Wednesday,11:00,23:00,2018-10-10
"Awful Salmon Bar",Thursday,10:00,23:15,2018-10-11
"Awful Salmon Bar",Friday,08:00,22:45,2018-10-12
"Awful Salmon Bar",Sunday,11:00,22:15,2018-10-14
"Awful Salmon Bar",Saturday,10:00,22:45,2018-10-13
"Best Stick Tavern",Monday,10:00,22:15,2018-10-15
"Best Stick Tavern",Tuesday,12:00,22:15,2018-10-09
"Best Stick Tavern",Wednesday,12:00,22:30,2018-10-10
"Best Stick Tavern",Thursday,11:00,22:00,2018-10-11
"Best Stick Tavern",Friday,09:00,22:45,2018-10-12
"Best Stick Tavern",Sunday,11:00,23:30,2018-10-14
"Best Stick Tavern",Saturday,08:00,22:15,2018-10-13
"Bloody Lady",Monday,11:00,23:30,2018-10-15
"Bloody Lady",Tuesday,11:00,22:45,2018-10-09
"Bloody Lady",Wednesday,08:00,22:30,2018-10-10
"Bloody Lady",Thursday,10:00,23:15,2018-10-11
"Bloody Lady",Friday,08:00,23:45,2018-10-12
"Bloody Lady",Sunday,09:00,22:15,2018-10-14
"Bloody Lady",Saturday,09:00,22:15,2018-10-13
"Blue City",Monday,09:00,23:15,2018-10-15
"Blue City",Tuesday,12:00,23:45,2018-10-09
"Blue City",Wednesday,10:00,22:15,2018-10-10
"Blue City",Thursday,10:00,22:45,2018-10-11
"Blue City",Friday,09:00,22:00,2018-10-12
"Blue City",Sunday,09:00,22:00,2018-10-14
"Blue City",Saturday,10:00,23:15,2018-10-13
"Brave Olive Pub",Monday,10:00,23:30,2018-10-15
"Brave Olive Pub",Tuesday,09:00,22:30,2018-10-09
"Brave Olive Pub",Wednesday,12:00,23:45,2018-10-10
"Brave Olive Pub",Thursday,10:00,23:00,2018-10-11
"Brave Olive Pub",Friday,11:00,23:00,2018-10-12
"Brave Olive Pub",Sunday,08:00,23:00,2018-10-14
"Brave Olive Pub",Saturday,11:00,22:00,2018-10-13
"Busy Bachelor Bar",Monday,09:00,22:15,2018-10-15
"Busy Bachelor Bar",Tuesday,09:00,23:00,2018-10-09
"Busy Bachelor Bar",Wednesday,12:00,22:45,2018-10-10
"Busy Bachelor Bar",Thursday,10:00,22:00,2018-10-11
"Busy Bachelor Bar",Friday,12:00,22:30,2018-10-12
"Busy Bachelor Bar",Sunday,10:00,22:30,2018-10-14
"Busy Bachelor Bar",Saturday,12:00,23:45,2018-10-13
"Cheap Vampire",Monday,09:00,23:45,2018-10-15
"Cheap Vampire",Tuesday,10:00,22:00,2018-10-09
"Cheap Vampire",Wednesday,12:00,22:45,2018-10-10
"Cheap Vampire",Thursday,11:00,23:15,2018-10-11
"Cheap Vampire",Friday,09:00,23:00,2018-10-12
"Cheap Vampire",Sunday,08:00,23:00,2018-10-14
"Cheap Vampire",Saturday,12:00,23:15,2018-10-13
"Chinese Oak",Monday,08:00,22:15,2018-10-15
"Chinese Oak",Tuesday,12:00,23:30,2018-10-09
"Chinese Oak",Wednesday,11:00,22:15,2018-10-10
"Chinese Oak",Thursday,12:00,23:30,2018-10-11
"Chinese Oak",Friday,09:00,23:45,2018-10-12
"Chinese Oak",Sunday,10:00,22:00,2018-10-14
"Chinese Oak",Saturday,08:00,22:15,2018-10-13
"Chubby Badger Pub",Monday,11:00,23:15,2018-10-15
"Chubby Badger Pub",Tuesday,11:00,22:30,2018-10-09
"Chubby Badger Pub",Wednesday,12:00,23:00,2018-10-10
"Chubby Badger Pub",Thursday,11:00,22:30,2018-10-11
"Chubby Badger Pub",Friday,10:00,23:15,2018-10-12
"Chubby Badger Pub",Sunday,08:00,22:30,2018-10-14
"Chubby Badger Pub",Saturday,11:00,22:30,2018-10-13
"Chunky Hawks Tavern",Monday,08:00,22:00,2018-10-15
"Chunky Hawks Tavern",Tuesday,11:00,22:30,2018-10-09
"Chunky Hawks Tavern",Wednesday,10:00,23:30,2018-10-10
"Chunky Hawks Tavern",Thursday,09:00,22:30,2018-10-11
"Chunky Hawks Tavern",Friday,08:00,22:15,2018-10-12
"Chunky Hawks Tavern",Sunday,12:00,23:15,2018-10-14
"Chunky Hawks Tavern",Saturday,08:00,23:00,2018-10-13
"Clean Bed Inn",Monday,12:00,22:30,2018-10-15
"Clean Bed Inn",Tuesday,08:00,22:00,2018-10-09
"Clean Bed Inn",Wednesday,11:00,23:45,2018-10-10
"Clean Bed Inn",Thursday,10:00,22:45,2018-10-11
"Clean Bed Inn",Friday,08:00,22:30,2018-10-12
"Clean Bed Inn",Sunday,09:00,22:30,2018-10-14
"Clean Bed Inn",Saturday,09:00,23:45,2018-10-13
"Clever Child",Monday,12:00,22:15,2018-10-15
"Clever Child",Tuesday,09:00,23:15,2018-10-09
"Clever Child",Wednesday,09:00,23:15,2018-10-10
"Clever Child",Thursday,09:00,23:30,2018-10-11
"Clever Child",Friday,10:00,22:30,2018-10-12
"Clever Child",Sunday,11:00,22:45,2018-10-14
"Clever Child",Saturday,09:00,22:15,2018-10-13
"Courageous Lyre Bar",Monday,08:00,22:45,2018-10-15
