barname,beername,price
"Absent Snow","North Beach Ale",4.40
"Absent Snow","Dry Stout",9.99
"Absent Snow","Imperial Stout",3.21
"Absent Snow","Old Oakland Ale",7.92
"Absent Snow","Inspiration Ale",9.99
"Absent Snow",Megalodon,8.55
"Absent Snow","Dry Hop Red",5.39
"Admiral Benbow Inn","Cauldron Espresso Stout",9.24
"Admiral Benbow Inn","Caldera IPA",6.16
"Admiral Benbow Inn","Orca Porter",6.16
"Admiral Benbow Inn","Code Blue",9.50
"Admiral Benbow Inn","Caldera Ginger Beer",6.16
"Admiral Benbow Inn","Coconut Porter",9.99
"Admiral Benbow Inn",Hefeweizen,9.99
"Admiral Benbow Inn","Vas Deferens Ale",5.79
"Amused Lemon Parlor","Amstel Light",3.86
"Amused Lemon Parlor","Deviator Doppelbock",6.93
"Amused Lemon Parlor","Orca Porter",6.16
"Amused Lemon Parlor",Megalodon,8.55
"Amused Lemon Parlor","Caldera Pale Ale",5.79
"Amused Lemon Parlor","Hop Hash",8.55
"Amused Lemon Parlor","Red Moon",9.00
"Amused Lemon Parlor","Cauldron DIPA",4.40
Anchor,"Amstel Lager",8.55
Anchor,"Dry Hop Red",5.39
Anchor,"Kirner Pils Premium",6.16
Anchor,"Holiday Imperial",5.39
Anchor,"Leviathan Imperial Stout",9.00
Anchor,"Amstel Bock",7.72
Anchor,"St. Stephen's Bock",9.68
Anchor,"Old Growth Imperial Stout",9.68
Anchor,"Honey Fayre",5.39
Anchor,"Hibiscus Ginger Beer",9.99
"Armed Pudding Bar","Cauldron DIPA",4.40
"Armed Pudding Bar","Dry Hop Red",5.39
"Armed Pudding Bar","Old Growth Imperial Stout",9.68
"Armed Pudding Bar","Hibiscus Ginger Beer",9.99
"Armed Pudding Bar","Dry Hop Orange",8.55
"Armed Pudding Bar","Celebration Ale",3.86
"Armed Pudding Bar","Imperial Stout",3.21
"Armed Pudding Bar","Blue Whale Ale",9.00
"Assorted Dandelion Bar","Inspiration Ale",9.99
"Assorted Dandelion Bar","Leviathan Imperial Stout",9.00
"Assorted Dandelion Bar","Old Growth Imperial Stout",9.68
"Assorted Dandelion Bar","Welsh Pride",5.28
"Assorted Dandelion Bar","Amstel Malt",6.16
"Assorted Dandelion Bar","Amstel Light",3.86
"Assorted Dandelion Bar","Hop Hash",8.55
"Assorted Dandelion Bar","Blue Whale Ale",9.00
"Assorted Dandelion Bar","Kirner Pils Premium",6.16
"Atomic Liquors","Schinderhannes Bock",7.04
"Atomic Liquors",Megalodon,8.55
"Atomic Liquors","Caldera Pale Ale",5.79
"Atomic Liquors","Amstel Bright",3.86
"Atomic Liquors","Amstel Gold",9.99
"Atomic Liquors","Southside Strong",5.39
"Atomic Liquors","Nut Brown",9.99
"Atomic Liquors","North Beach Ale",4.40
"Atomic Liquors","Coconut Porter",9.99
"Atomic Liquors","Holiday Imperial",5.39
"Awful Salmon Bar","Columbus India Pale Ale",9.64
"Awful Salmon Bar","Caldera Oatmeal Stout",8.55
"Awful Salmon Bar","Holiday Trappist Style Ale",9.99
"Awful Salmon Bar","Amstel Lentebock",3.85
